model_name,cv_f1_mean,cv_f1_std,accuracy,f1_macro,f1_weighted,precision_macro,precision_weighted,recall_macro,recall_weighted,top3_accuracy,brier_score_avg,fit_time_s,predict_time_s
random_forest,0.6283,0.0258,0.6698,0.555,0.6478,0.5876,0.6663,0.5688,0.6698,0.9302,0.0894,1.38,0.171
xgboost,0.6396,0.0209,0.6512,0.5916,0.6378,0.72,0.6594,0.5823,0.6512,0.9628,0.086,63.2,0.033
lightgbm,0.6337,0.0185,0.6465,0.6218,0.6374,0.7207,0.6577,0.6008,0.6465,0.9581,0.0954,70.41,0.04
logistic_regression,0.6027,0.0131,0.6419,0.5815,0.6339,0.6302,0.6419,0.5731,0.6419,0.9581,0.0832,0.74,0.033
mlp,0.6005,0.012,0.6372,0.5273,0.6197,0.5473,0.6248,0.5314,0.6372,0.9674,0.0841,1.07,0.038
knn,0.5823,0.0036,0.5721,0.4676,0.548,0.4845,0.5545,0.4856,0.5721,0.9256,0.095,0.0,0.062
naive_bayes,0.5328,0.0224,0.5349,0.4604,0.5294,0.4928,0.5747,0.4828,0.5349,0.8977,0.1521,0.02,0.046
dummy_most_frequent,0.1165,0.002,0.2698,0.0708,0.1146,0.045,0.0728,0.1667,0.2698,0.4326,0.2434,0.0,0.054
